A1	A2	angle	radius
1359.1312	-669.79675	38.1904780549564	372.32980908591
1365.0834	-691.49884	35.0257087454675	363.277922491465
1373.433	-717.16266	31.000205912536	354.995592161169
1370.8617	-744.7011	27.1987845680964	339.763760199031
1391.565	-763.43365	23.1719338002005	347.062912927877
1399.1655	-791.57245	18.4362540398175	342.854588100864
1402.517	-813.3337	14.8012889226813	339.245882330513
1393.8226	-825.94934	12.9939078043086	329.337335961025
1439.471	-858.93134	6.54236475911651	360.447960473656
1423.9116	-867.37177	5.39609050097667	346.959776184431
1452.512	-886.91077	2.03305619171712	368.959322548295
811.049	-411.12845	107.481357719351	512.543504754823
825.1338	-411.5515	106.262872298497	508.807430790157
843.7481	-350.86295	103.053754881938	563.703956821555
886.78766	-386.21246	100.178991232958	522.003629818949
908.1629	-394.3	98.4174862681558	511.206872089158
958.7648	-422.25742	94.0230660240882	478.922699664187
971.39264	-442.98953	92.9199336157333	457.604580280735
1011.87286	-465.7907	88.7236142745959	434.317064951035
1039.736	-478.56302	85.606640574883	422.678964109055
981.6591	-408.87903	91.7429932969064	491.348308063269
1026.9127	-465.22528	87.1124956060618	435.327425962238
1055.4768	-470.17548	83.9962283173817	432.195104825529
1071.1023	-485.17136	82.0491748039941	418.855030129606
1088.5789	-492.41125	79.9578556010002	413.930261668641
1144.6637	-518.39215	72.8341079165605	399.399405414201
1183.7449	-505.9777	69.1938301616467	421.510053111605
1240.9874	-562.83405	59.7832381606381	390.180740995103
1283.7561	-598.7363	52.4940836178356	379.764675602356
1305.9681	-615.2374	48.7970705632944	378.48179687393
1298.3875	-639.27264	46.9991395132941	356.504671947918
1327.4375	-661.15234	41.8347458706869	358.100804825319
1339.6707	-673.8152	39.2558262774731	357.443889847454
1339.8324	-698.62024	36.0260436129493	342.393534906582
1360.24	-723.2312	31.0562345611471	342.655466903526
1347.4382	-729.42523	31.0692697988108	330.52385790513
1417.7235	-774.032	20.3085390783836	362.941281709466
1390.5897	-800.98663	17.2808475853196	333.315831488086
1401.83	-839.9904	10.3856294038543	332.882819103625
1412.6537	-846.3148	9.07123605534708	340.507440478111
1403.4636	-859.1908	7.07596359251834	331.283388721371
1433.2977	-887.86475	1.96851678817423	353.278885300347
1398.2678	-886.00214	2.46981852930157	324.828211090381
1448.7346	-919.3962	-3.0364626978213	366.163160711257
743.0683	-395.22147	112.526479048492	546.473012100054
781.3777	-398.21725	109.545914747146	532.466851068777
766.5249	-445.71515	112.72302203606	492.512191534129
797.93695	-404.61087	108.385003863336	522.034504875667
792.1502	-502.57605	113.081659399003	432.00742358371
831.7312	-371.45987	104.542991435154	546.035378119006
777.893	-426.96747	110.936903350226	506.472633374107
890.14166	-400.13168	100.153028032831	507.820559432042
961.8976	-434.34088	93.8145161761584	466.693010500633
930.20197	-390.46774	96.3690555108207	512.696635591442
958.9987	-469.02606	94.4327828284372	432.266983340055
926.67926	-445.8958	97.4951723309268	458.017568160556
976.93463	-474.66937	92.5301652567403	425.745681700229
908.8588	-523.0375	101.145194001472	384.208479673283
979.73615	-456.89722	92.1340969080328	443.410324958914
952.22504	-449.21927	94.9357865253728	452.458558985135
993.44885	-477.21997	90.7233984019907	422.813729477434
998.3369	-462.1113	90.1773171512217	437.890796967996
1005.68427	-392.74893	89.4768367481004	507.272216438121
1252.3242	-586.48645	56.742768366986	374.918914864361
1320.5681	-552.3968	53.076248269726	434.810711035831
1281.9827	-627.52026	49.8602953039517	356.427341632724
1308.556	-629.9082	47.0498987249456	369.004397508671
1309.6461	-659.1545	43.6678713048387	348.810366877032
1313.1812	-697.6654	38.4096869116217	325.673629062287
1322.4851	-684.18054	39.3965335643996	340.042511221996
1336.3235	-732.8323	31.3826276361457	321.012848556491
1345.3074	-750.123	28.0426671274259	318.799769153342
1363.6367	-784.0732	21.3673338280149	318.17786323086
1377.276	-804.7798	17.2097583085626	321.830400714692
1370.1124	-840.59717	11.1428688140097	307.378781625405
1384.3191	-858.74866	7.50413383726485	315.86568907976
1373.2474	-873.2294	5.03026859492325	305.314635654472
1414.7675	-907.552	-1.28006700781804	338.055525356347
